Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-24 00:00:00-05:00,247.92521991918787,248.95674719256527,246.08036054974838,247.1912384033203,24990900,0.0,0.0
2023-02-27 00:00:00-05:00,250.40486085348303,250.7619308857453,247.3598448652222,248.1235809326172,21190000,0.0,0.0
2023-02-28 00:00:00-05:00,247.0424456682922,249.44274377159138,246.70520194592785,247.38958740234375,22491000,0.0,0.0
2023-03-01 00:00:00-05:00,248.71868300329498,248.8872973023031,243.7891400729359,244.26524353027344,27565300,0.0,0.0
2023-03-02 00:00:00-05:00,244.54296473957447,249.35347427292962,243.61061438046428,249.0658416748047,24808200,0.0,0.0
2023-03-03 00:00:00-05:00,250.137051855551,253.53912270491148,249.3435612218823,253.21180725097656,30760100,0.0,0.0
2023-03-06 00:00:00-05:00,254.34254055225676,258.0025047623635,253.89620677568723,254.77896118164062,24109800,0.0,0.0
2023-03-07 00:00:00-05:00,254.21359245848484,255.59229177248812,251.32729264867703,252.0811004638672,21473200,0.0,0.0
2023-03-08 00:00:00-05:00,251.97199424079665,252.46792401740663,248.76829212157722,251.634765625,17340200,0.0,0.0
2023-03-09 00:00:00-05:00,253.73751486072987,257.44705985527366,249.53202496146724,250.26600646972656,26653400,0.0,0.0
2023-03-10 00:00:00-05:00,249.03609618727077,250.7321675325816,245.5844292109504,246.5663604736328,28333900,0.0,0.0
2023-03-13 00:00:00-04:00,245.38602316417962,255.81047572452408,243.7296196901342,251.8529510498047,33339700,0.0,0.0
2023-03-14 00:00:00-04:00,254.65996232315538,258.944803228399,253.77720784979414,258.6670837402344,33620300,0.0,0.0
2023-03-15 00:00:00-04:00,257.86366057340416,264.3107477450993,257.09990933619235,263.2792053222656,46028000,0.0,0.0
2023-03-16 00:00:00-04:00,263.0510722103702,274.30868456027946,261.13679047484055,273.9516296386719,54768800,0.0,0.0
2023-03-17 00:00:00-04:00,275.99481485438076,281.0235191631436,274.07060513741874,277.1552734375,69527400,0.0,0.0
2023-03-20 00:00:00-04:00,274.7252485260536,275.2211782639934,267.65328561996745,270.013916015625,43466600,0.0,0.0
2023-03-21 00:00:00-04:00,272.64232094199457,272.7613392287763,267.3259387356153,271.55126953125,34558700,0.0,0.0
2023-03-22 00:00:00-04:00,271.1743747825349,278.75219571110404,269.9643050106118,270.07342529296875,34873300,0.0,0.0
2023-03-23 00:00:00-04:00,275.67743869440886,278.7720355681591,272.95975328307827,275.39971923828125,36610900,0.0,0.0
2023-03-24 00:00:00-04:00,274.98313200692763,278.3455504112446,273.0390957639291,278.2860412597656,28172000,0.0,0.0
2023-03-27 00:00:00-04:00,278.21661412567,279.16879085373205,273.2771424860092,274.1301574707031,26840200,0.0,0.0
2023-03-28 00:00:00-04:00,273.5449408533657,273.89209773330356,269.83536572850494,272.989501953125,21878600,0.0,0.0
2023-03-29 00:00:00-04:00,276.6891315188411,278.8514083418194,276.1436208741472,278.2265319824219,25087000,0.0,0.0
2023-03-30 00:00:00-04:00,281.9162591448602,282.14436747586086,279.1886453015576,281.7377014160156,25053400,0.0,0.0
2023-03-31 00:00:00-04:00,281.4202893361969,286.91516883079635,280.6962210493178,285.95306396484375,32766000,0.0,0.0
2023-04-03 00:00:00-04:00,284.1876035886426,285.9233579002079,281.6385474042144,284.891845703125,24883300,0.0,0.0
2023-04-04 00:00:00-04:00,284.89183526109764,288.08562428808324,283.34453675303274,284.84222412109375,25824300,0.0,0.0
