,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200,Price_vs_SMA50,Price_vs_SMA200,Volume_vs_SMA50,Volume_vs_SMA200,Breakout
199,2023-12-08 00:00:00-05:00,322.74754361352365,332.81687659258336,322.657642665436,332.3973083496094,14077500,0.0,0.0,319.2099133300781,274.3780809020996,13.187395019531266,58.01922744750976,19169316.0,22886787.0,True
200,2023-12-11 00:00:00-05:00,329.05087012465805,329.5403715144485,319.6608390739086,324.93524169921875,25802500,0.0,0.0,319.7107818603515,275.1517100524902,5.224459838867233,49.783531646728534,19178234.0,22916843.0,True
201,2023-12-12 00:00:00-05:00,324.2559545274346,334.1154881926439,324.2159883885592,333.8657531738281,18485500,0.0,0.0,320.2582006835937,275.9742372894287,13.607552490234411,57.89151588439944,19222632.0,22912885.5,True
202,2023-12-13 00:00:00-05:00,333.5760538445142,338.0113502418112,332.2874430897287,334.3851928710937,16353300,0.0,0.0,320.9334838867187,276.77239028930666,13.451708984374989,57.61280258178704,19202452.0,22764396.5,True
203,2023-12-14 00:00:00-05:00,333.49616649912355,334.3452717015821,328.29169698887586,332.81689453125,19607300,0.0,0.0,321.4846997070312,277.5702938079834,11.332194824218789,55.246600723266624,19256988.0,22707441.0,True
204,2023-12-15 00:00:00-05:00,331.63811528624166,338.30105919170734,330.86894238104355,334.5650329589844,30001600,0.0,0.0,322.08666076660154,278.3713938903809,12.478372192382835,56.19363906860349,19474420.0,22770689.0,True
205,2023-12-18 00:00:00-05:00,337.122313807677,347.19161653900284,336.6627794151925,344.2547302246094,18993900,0.0,0.0,322.6698419189453,279.1673992919922,21.584888305664094,65.08733093261719,19418618.0,22636270.0,True
206,2023-12-19 00:00:00-05:00,345.2137148842268,353.2252341949607,344.754210962725,349.9886474609375,17729400,0.0,0.0,323.30916381835937,279.9938224029541,26.679483642578134,69.9948250579834,19323132.0,22558870.0,True
207,2023-12-20 00:00:00-05:00,348.28045291081605,354.5837623788944,347.42137907464155,348.9097900390625,16369900,0.0,0.0,323.8573822021484,280.81679916381836,25.052407836914085,68.09299087524414,19269770.0,22457212.0,True
208,2023-12-21 00:00:00-05:00,352.6058823002862,356.0322394765689,348.8398586679814,353.7146911621094,15289600,0.0,0.0,324.38222473144526,281.66150283813477,29.332466430664113,72.05318832397461,19134836.0,22436498.0,True
209,2023-12-22 00:00:00-05:00,355.2031232828578,356.82143192506845,350.8477588843393,353.0154724121094,11764200,0.0,0.0,324.9662054443359,282.51909301757814,28.049266967773463,70.49637939453123,18959510.0,22362405.0,True
210,2023-12-26 00:00:00-05:00,354.6137525385586,356.6016641583025,353.0754066636714,354.45391845703125,9898600,0.0,0.0,325.76815429687497,283.3947639465332,28.685764160156282,71.05915451049805,18730662.0,22283573.0,True
211,2023-12-27 00:00:00-05:00,355.6926003068876,358.6194874141744,354.9333960935778,357.4507141113281,13207900,0.0,0.0,326.50097656249994,284.27847618103027,30.949737548828182,73.17223793029785,18664098.0,22225972.5,True
212,2023-12-28 00:00:00-05:00,359.3187582497265,361.5164081301815,357.4307468694003,357.9402160644531,11798800,0.0,0.0,327.18664916992185,285.09910545349123,30.753566894531275,72.84111061096189,18572318.0,22076753.5,True
213,2023-12-29 00:00:00-05:00,358.60950648730056,359.6184457709883,351.44712284742576,353.5848388671875,14980500,0.0,0.0,327.9256652832031,285.87932762145994,25.659173583984398,67.70551124572756,18534908.0,21941038.0,True
